2014-08-27 11:47:45,387 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/org/apache/maven/archetypes/maven-archetype-webapp/maven-metadata.xml
2014-08-27 11:47:45,624 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/apache/maven/archetypes/maven-archetype-webapp/maven-metadata.xml
2014-08-27 11:48:18,971 [Worker-4] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' C:\git\Professional\demo-web-app-java\gum-sprio-hib-psql\pom.xml
2014-08-27 11:48:25,138 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: demo.web:gum-sprio-hib-psql:0.0.1-SNAPSHOT @ C:\git\Professional\demo-web-app-java\gum-sprio-hib-psql\pom.xml.
2014-08-27 11:48:29,479 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /gum-sprio-hib-psql/src/main/java
2014-08-27 11:48:29,479 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /gum-sprio-hib-psql/src/main/resources
2014-08-27 11:48:29,481 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /gum-sprio-hib-psql/src/test/java
2014-08-27 11:48:29,490 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: demo.web:gum-sprio-hib-psql:0.0.1-SNAPSHOT @ C:\git\Professional\demo-web-app-java\gum-sprio-hib-psql\pom.xml.
2014-08-27 11:48:34,910 [Worker-4] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 15 sec
2014-08-27 11:48:37,278 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: demo.web:gum-sprio-hib-psql:0.0.1-SNAPSHOT @ C:\git\Professional\demo-web-app-java\gum-sprio-hib-psql\pom.xml.
2014-08-27 11:48:37,571 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-27 11:48:37,605 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-08-27 11:48:37,609 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-27 11:48:37,614 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\git\Professional\demo-web-app-java\gum-sprio-hib-psql\src\test\resources
2014-08-27 11:48:41,859 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-27 11:48:41,865 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-08-27 11:48:41,867 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-27 11:48:41,870 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\git\Professional\demo-web-app-java\gum-sprio-hib-psql\src\test\resources
2014-08-27 11:50:07,712 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-27 11:50:07,717 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-08-27 11:50:07,719 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-27 11:50:07,722 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\git\Professional\demo-web-app-java\gum-sprio-hib-psql\src\test\resources
2014-08-27 11:50:50,591 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: demo.web:gum-sprio-hib-psql:0.0.1-SNAPSHOT @ C:\git\Professional\demo-web-app-java\gum-sprio-hib-psql\pom.xml.
2014-08-27 11:50:50,767 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-27 11:50:50,770 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-08-27 11:50:50,772 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-08-27 11:50:50,775 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\git\Professional\demo-web-app-java\gum-sprio-hib-psql\src\test\resources
